,recipe_id,ingredient,readings,amount
53,2813323,醤油酒(肉浸し用),ショウユシュ(ニクヒタシヨウ),適量
54,2813323,小麦粉(肉まぶし用),コムギコ(ニクマブシヨウ),適量
55,2813323,醤油砂糖酒,ショウユサトウシュ,各大さじ3
56,3306430,ご飯,ゴハン,軽く2杯
57,3306430,卵,タマゴ,1個
58,3306430,ヒジキ煮,ヒジキニ,おたま1杯分
59,3306430,塩胡椒,シオコショウ,少々
60,3306430,醤油,ショウユ,1.0
61,3306430,油,アブラ,6.0
62,3306430,万能ネギの小口切り,バンノウネギノコグチキリ,あれば適量
63,1485280,サーモン,サーモン,2きれ
64,1485280,マヨネーズ,マヨネーズ,6.0
65,1485280,醤油,ショウユ,0.5
66,1485280,チーズ,チーズ,適量
67,1485280,パセリ,パセリ,少々
68,1485280,お好みで野菜やきのこ等,オコノミデヤサイヤキノコトウ,適量
69,2069593,じゃがいも,ジャガイモ,3個(200グラム)
70,2069593,枝豆,エダマメ,50グラム
71,2069593,ベーコンまたはハム,ベーコンマタハハム,2枚(30グラム)
72,2069593,マヨネーズ,マヨネーズ,6.0
73,2069593,酢,ス,2.0
74,2069593,塩こしょう,シオコショウ,少々
75,2181095,鯖,サバ,1尾
76,2181095,塩,シオ,少々
77,2181095,酒,サケ,1.0
78,2181095,片栗粉,カタクリコ,6.0
79,2181095,玉ねぎ,タマネギ,0.5個~
80,2181095,人参,ニンジン,0.5本
81,2181095,ケチャップ,ケチャップ,6.0
82,2181095,米酢,ベイス,15.0
83,2181095,醤油,ショウユ,7.5
84,2181095,みりん,ミリン,6.0
85,2181095,砂糖,サトウ,3.0
86,2181095,鶏がらスープの素又はウェイパーあれば,ニワトリガラスープノモトマタハウェイパーアレバ,0.5
87,2181095,オリーブオイル(サラダ油),オリーブオイル(サラダユ),6.0
88,2181095,水溶き片栗粉,ミズトキカタクリコ,片栗粉小さじ1水小さじ2くらい
89,1285389,カジキ切り身,カジキキリミ,2切れ
90,1285389,醤油,ショウユ,9.0
91,1285389,酒,サケ,9.0
92,1285389,みりん,ミリン,9.0
93,1285389,砂糖,サトウ,2.0
94,1285389,水,ミズ,12.0
95,1285389,生姜,ショウガ,1かけ
96,1285389,長ねぎ(白いところ),チョウネギ(シロイトコロ),今回は0.5本
97,1285389,薄力粉,ハクリキコ,適宜
98,4455459,ブリの切り身,ブリノキリミ,2切れ
99,4455459,塩,シオ,1.0
100,4455459,お湯,オユ,ぶりの切り身がひたひたに浸かる程度
101,4455459,お酒,オサケ,6.0
102,4455459,黒こしょう(お好みで),クロコショウ(オコノミデ),適量
103,4455459,にんにく,ニンニク,1片
104,4455459,バター(マーガリン),バター(マーガリン),20g
105,4455459,お酒,オサケ,6.0
106,4455459,醤油,ショウユ,1.0
107,419114,スパゲッティ,スパゲッティ,180~200グラム
108,419114,ベーコン,ベーコン,2枚~好きなだけ
109,419114,たまねぎ,タマネギ,中1個
110,419114,きのこ(好みのものを),キノコ(コノミノモノヲ),1~2パック
111,419114,バター,バター,3.0
112,419114,小麦粉,コムギコ,6.0
113,419114,牛乳,ギュウニュウ,200cc(1カップ)
114,419114,コンソメ,コンソメ,1個
115,419114,塩コショウ醤油,シオコショウショウユ,適量
116,853593,生鮭,ナマサケ,3切れ
117,853593,キャベツ,キャベツ,お好きなだけ
118,853593,ごま油,ゴマアブラ,適量
119,853593,ブラックペッパー,ブラックペッパー,適量
120,853593,片栗粉,カタクリコ,適量
121,853593,にんにく,ニンニク,2かけ
122,853593,しょうゆ,ショウユ,大2
123,853593,酒,サケ,大1
124,853593,みりん,ミリン,小1
125,919118,EXVオリーブ油,EXVオリーブユ,130g
126,919118,フレッシュバジルの葉,フレッシュバジルノハ,50~55g
127,919118,クルミ,クルミ,45~50g
128,919118,粉チーズ(あれば無くてOK),コナチーズ(アレバナクテOK),25g
129,919118,ニンニク,ニンニク,5g~
130,919118,おいしい塩,オイシイシオ,(工程67参照)3~5g
131,919118,ブラックペッパー(あればホール),ブラックペッパー(アレバホール),3g~
132,2051903,かぶ,カブ,3玉
133,2051903,油揚げ,アブラアゲ,1枚
134,2051903,お水,オミズ,350cc
135,2051903,白だし,シロダシ,40cc
136,2051903,ほんだし,ホンダシ,小1
137,2051903,みりん,ミリン,大1
138,2051903,さとう,サトウ,大0.5
139,2051903,片栗粉,カタクリコ,大1(倍量の水で溶く)
140,3720229,鶏手羽先,ニワトリテバサキ,約15~16本
141,3720229,キャベツ,キャベツ,200g
142,3720229,ニラ,ニラ,少々
143,3720229,にんにくすりおろし,ニンニクスリオロシ,1欠
144,3720229,生姜すりおろし,ショウガスリオロシ,少々
145,3720229,豚ひき肉,ブタヒキニク,150g
146,3720229,酒,サケ,3.0
147,3720229,麺つゆ(3倍濃縮),メンツユ(3バイノウシュク),9.0
148,3720229,塩胡椒,シオコショウ,少々
149,3720229,胡麻油,ゴマアブラ,1.0
150,3720229,麺つゆ(3倍濃縮),メンツユ(3バイノウシュク),3.0
151,3720229,塩胡椒,シオコショウ,少々
152,3720229,ガラスープの素粉末,ガラスープノモトフンマツ,1.0
153,3720229,胡麻油,ゴマアブラ,1.0
154,3479839,米,ベイ,2合
155,3479839,人参,ニンジン,1本
156,3479839,だしの素(粉末),ダシノモト(フンマツ),1.0
157,3479839,水,ミズ,すりおろした人参と合わせて360cc
158,3479839,ごま,ゴマ,お好みで
159,3720803,鶏むね肉,ニワトリムネニク,1枚(250g)
160,3720803,酒,サケ,6.0
161,3720803,醤油,ショウユ,6.0
162,3720803,すりおろしショウガ,スリオロシショウガ,1.5
163,3720803,すりおろしニンニク,スリオロシニンニク,1.5
164,3720803,片栗粉,カタクリコ,12.0
165,4088121,水菜,ミズナ,1株
166,4088121,豆腐,トウフ,150グラム前後
167,4088121,麩,フスマ,適量
168,4088121,味噌,ミソ,4.5
169,4088121,水,ミズ,500cc
170,4088121,かつおだし,カツオダシ,1.5
171,1196266,ニラ,ニラ,0.5束
172,1196266,玉ねぎ,タマネギ,0.25個
173,1196266,薄力粉,ハクリキコ,18.0
174,1196266,片栗粉,カタクリコ,9.0
175,1196266,鶏ガラスープの素(顆粒),ニワトリガラスープノモト(カリュウ),1.0
176,1196266,塩,シオ,少々
177,1196266,水,ミズ,100cc
178,1196266,ごま油,ゴマアブラ,6.0
179,1196266,1醤油酢コチュジャン胡麻,1ショウユスコチュジャンゴマ,適量
180,1196266,or2ポン酢胡麻ごま油,or2ポンズゴマゴマアブラ,適量
181,2445154,カレー用豚肉,カレーヨウブタニク,150〜200g
182,2445154,レンコン(家にある具材でOK),レンコン(カニアルグザイデOK),0.5本
183,2445154,味ポン,アジポン,9.0
184,2445154,砂糖,サトウ,1.5
185,2445154,片栗粉,カタクリコ,適量
186,2445154,おろしショウガ,オロシショウガ,1片
187,2445154,醤油,ショウユ,3.0
188,2445154,酒,サケ,3.0
189,468391,ほうれん草,ホウレンソウ,1把
190,468391,すりごま(),スリゴマ(),大2
191,468391,しょうゆ(),ショウユ(),小2
192,468391,砂糖(),サトウ(),小2
193,1415913,砂糖,サトウ,1
194,1415913,醤油,ショウユ,1
195,1415913,酒,サケ,1
196,1415913,みりん,ミリン,1
197,625120,スパゲティ,スパゲティ,100g
198,625120,ゴーヤ,ゴーヤ,5cmほど
199,625120,ツナ(80g缶),ツナ(80gカン),0.5
200,625120,ニンニク(みじん切り),ニンニク(ミジンギリ),1.0
201,625120,醤油,ショウユ,1.0
202,625120,あらびき胡椒,アラビキコショウ,適量
203,625120,スパゲティの茹で汁,スパゲティノユデジル,9.0
204,625120,EXVオリーブオイル,EXVオリーブオイル,2.0
205,625120,塩(ゴーヤの塩もみ用),シオ(ゴーヤノシオモミヨウ),1.0
206,2412575,鶏もも肉,ニワトリモモニク,2枚(600g位)
207,2412575,白ねぎ,シロネギ,2本
208,2412575,塩(白ねぎ用),シオ(シロネギヨウ),0.5
209,2412575,サラダ油(焼く用),サラダユ(ヤクヨウ),適量
210,2412575,酒,サケ,3.0
211,2412575,砂糖,サトウ,1.0
212,2412575,塩,シオ,1.0
213,2412575,おろしにんにく(チューブ),オロシニンニク(チューブ),1cm分位
214,1269668,小松菜,コマツナ,200g
215,1269668,エノキ,エノキ,100g
216,1269668,卵,タマゴ,1個
217,1269668,ごま油,ゴマアブラ,1.5
218,1269668,酢,ス,1.5
219,1269668,片栗粉,カタクリコ,3.0
220,1269668,中華スープ(水500ccウェイパー大さじ1),チュウカスープ(スイ500ccウェイパーオオサジ1),500cc
221,1269668,しょうゆ,ショウユ,3.0
222,1269668,塩こしょう,シオコショウ,少々
223,1491806,卵(M~Lサイズ),タマゴ(M~Lサイズ),4個
224,3969423,にんじん,ニンジン,1本
225,3969423,ピーマン,ピーマン,2〜3個
226,3969423,しめじ,シメジ,1パック
227,3969423,ツナ缶,ツナカン,1缶
228,3969423,塩胡椒,シオコショウ,適量
229,3969423,カレー粉,カレーコ,2.0
230,3969423,醤油,ショウユ,2.0
231,3969423,みりん,ミリン,1.0
232,2990412,レンコン,レンコン,1節
233,2990412,キャベツ,キャベツ,2~3枚
234,2990412,白だし,シロダシ,9.0
235,2990412,砂糖,サトウ,1.0
236,2990412,塩,シオ,0.5
237,1936286,ゴーヤ,ゴーヤ,1本
238,1936286,玉ねぎ,タマネギ,1個
239,1936286,ツナ缶,ツナカン,1缶
240,1936286,レモン,レモン,0.5個
241,1936286,マヨネーズ,マヨネーズ,9.0
242,1936286,ポン酢,ポンズ,1.0
243,1936286,塩コショウ,シオコショウ,ミルで3~4回ガリガリ削る
244,2185605,豚こま切れ肉,ブタコマギレニク,200g
245,2185605,しめじ,シメジ,1パック
246,2185605,エリンギ,エリンギ,1パック
247,2185605,塩胡椒,シオコショウ,少々
248,2185605,酒サラダ油,サケサラダユ,各小匙2
249,2185605,小麦粉,コムギコ,3.0
250,2185605,オイスターソース酢酒,オイスターソーススシュ,各小匙2
251,2185605,醤油,ショウユ,3.0
252,2185605,蜂蜜,ハチミツ,3.0
253,2185605,にんにく(チューブ),ニンニク(チューブ),1~2cm
254,2185605,マヨネーズ黒胡椒,マヨネーズクロコショウ,お好みで
255,2185605,(ご飯キャベツの千切り),(ゴハンキャベツノセンギリ),(お好みで)
256,4205067,卵,タマゴ,1個
257,4205067,砂糖,サトウ,1.0
258,4205067,片栗粉,カタクリコ,6.0
259,4205067,水,ミズ,0.5
260,4205067,ご飯,ゴハン,120g
261,4205067,ケチャップ,ケチャップ,4.5
262,4205067,ウスターソース,ウスターソース,1.0
263,4205067,玉ねぎ(みじん切り),タマネギ(ミジンギリ),0.25個
264,4205067,にんじん(みじん切り),ニンジン(ミジンギリ),3cm
265,4205067,ピーマン(みじん切り),ピーマン(ミジンギリ),0.5個
266,4205067,バター,バター,0.5
267,4205067,ケチャップデミグラスソースなど,ケチャップデミグラスソースナド,適宜
268,1623350,ほうれん草,ホウレンソウ,1袋(200gくらい)
269,1623350,エリンギ,エリンギ,2本(130~140g)
270,1623350,ベーコン,ベーコン,2~3枚
271,1623350,コーン(缶詰),コーン(カンヅメ),9.0
272,1623350,鶏ガラスープの素,ニワトリガラスープノモト,小1
273,1623350,バター,バター,10g
274,1623350,しょう油,ショウユ,1.0
275,2619848,鶏もも肉(むね肉でも),ニワトリモモニク(ムネニクデモ),200g
276,2619848,アボカド,アボカド,1個
277,2619848,塩こしょう,シオコショウ,適量
278,2619848,オリーブオイル,オリーブオイル,3.0
279,2619848,にんにく(チューブ),ニンニク(チューブ),2cm
280,2619848,レモン汁,レモンジル,3.0
281,2619848,ブラックペッパー,ブラックペッパー,適量
282,2619848,ピンクペッパー(お好みで),ピンクペッパー(オコノミデ),適量
283,3550973,白菜,ハクサイ,外側だと大4枚分
284,3550973,椎茸やしめじなどきのこ類,シイタケヤシメジナドキノコルイ,今回は椎茸2枚
285,3550973,ハムやベーコンウインナー,ハムヤベーコンウインナー,今回はハムで3〜4枚
286,3550973,バターまたはマーガリン,バターマタハマーガリン,6.0
287,3550973,小麦粉,コムギコ,4.5
288,3550973,牛乳,ギュウニュウ,300cc
289,3550973,鶏がらスープの素,ニワトリガラスープノモト,3.0
290,3550973,塩胡椒,シオコショウ,少々
291,3645227,豚ひき肉,ブタヒキニク,500g
292,3645227,玉ねぎ,タマネギ,1個
293,3645227,しょうが,ショウガ,ひとかけ
294,3645227,砂糖,サトウ,12.0
295,3645227,しょうゆ,ショウユ,12.0
296,3645227,塩,シオ,少々
297,2167895,豚バラ薄切り肉,ブタバラウスギリニク,200g
298,2167895,玉ねぎ,タマネギ,大0.5個
299,2167895,にんじん,ニンジン,大0.5本
300,2167895,ピーマン,ピーマン,2個
301,2167895,サラダ油,サラダユ,6.0
302,2167895,にんにく(すりおろし),ニンニク(スリオロシ),1片分(約小さじ1)
303,2167895,生姜(すりおろし),ショウガ(スリオロシ),1かけ分(約小さじ1)
304,2167895,砂糖,サトウ,4.0
305,2167895,しょうゆ,ショウユ,6.0
306,2167895,酒,サケ,9.0
307,2167895,豆板醤,マメイタヒシオ,0.5
308,2167895,ごま油,ゴマアブラ,2.0
309,2167895,すりごま(白),スリゴマ(シロ),約大さじ4
310,3928093,ごまさば,ゴマサバ,2枚(約250g)
311,3928093,酒,サケ,3.0
312,3928093,醤油,ショウユ,1.5
313,3928093,おろし生姜,オロシショウガ,1片分
314,3928093,生姜みじん切り,ショウガミジンギリ,1片分
315,3928093,酒,サケ,3.0
316,3928093,酢,ス,3.0
317,3928093,醤油,ショウユ,1.5
318,3928093,砂糖,サトウ,1.0
319,3928093,刻みネギ,キザミネギ,1本分
320,3928093,片栗粉,カタクリコ,6.0
321,4136752,さんま,サンマ,2匹
322,4136752,みりん,ミリン,0.5
323,4136752,塩,シオ,0.25
324,102203,鶏もも肉(胸肉でもOK),ニワトリモモニク(ムネニクデモOK),4枚
325,102203,卵,タマゴ,1~2個
326,102203,小麦粉,コムギコ,適量
327,102203,しょうゆ,ショウユ,12.0
328,102203,砂糖,サトウ,18.0
329,102203,酢,ス,15.0
330,102203,大人用小口切りの唐辛子,オトナヨウコグチキリノトウガラシ,少々
331,102203,子供用ケチャップ,コドモヨウケチャップ,1.0
332,102203,ゆで卵,ユデタマゴ,1~2個(好みで)
333,102203,玉ねぎ,タマネギ,0.25個(好みで)
334,102203,マヨネーズ,マヨネーズ,15.0
335,102203,ケチャップ,ケチャップ,1.0
336,102203,塩,シオ,少々
337,102203,コショウ,コショウ,少々
338,597693,豚肉(薄切り),ブタニク(ウスギリ),200g
339,597693,塩こしょう,シオコショウ,適量
340,597693,薄力粉,ハクリキコ,適量
341,597693,キムチ,キムチ,100g
342,597693,にんにく(みじん切り),ニンニク(ミジンギリ),1片
343,597693,しょうが(みじん切り),ショウガ(ミジンギリ),1片
344,597693,めんつゆ(2倍濃縮),メンツユ(2バイノウシュク),適量(大さじ0.5~)
345,597693,塩コショウ,シオコショウ,少々
346,597693,ごま油,ゴマアブラ,3.0
347,597693,小ネギ(お好みで),ショウネギ(オコノミデ),適量
348,4222590,鶏胸肉,ニワトリムネニク,1枚
349,4222590,ヨーグルト(下味用),ヨーグルト(シタアジヨウ),100g
350,4222590,カレー粉(下味用),カレーコ(シタアジヨウ),3.0
351,4222590,バター(炒め用),バター(イタメヨウ),30g
352,4222590,おろしニンニク,オロシニンニク,0.5
353,4222590,おろし生姜,オロシショウガ,1.0
354,4222590,カレー粉,カレーコ,3.0
355,4222590,パプリカパウダー,パプリカパウダー,3.0
356,4222590,トマト水煮缶,トマトスイニカン,1缶(400g)
357,4222590,生クリーム,ナマクリーム,100ml
358,4222590,上白糖,ジョウハクトウ,3.99
359,4222590,食塩,ショクエン,1.5
360,4222590,チリペッパー,チリペッパー,0.33
361,4222590,蜂蜜,ハチミツ,1.0
362,4222590,パルメザンチーズ,パルメザンチーズ,1.0
363,4222590,バター(仕上げ用),バター(シアゲヨウ),10g
364,4222590,生クリーム,ナマクリーム,適量
365,4222590,パセリ,パセリ,適量
366,271282,豚肉,ブタニク,200g
367,271282,かぶ,カブ,小さいの5~6個
368,271282,醤油,ショウユ,3.0
369,271282,酒,サケ,2.0
370,271282,砂糖,サトウ,3.0
371,271282,だしの素,ダシノモト,少~し
372,271282,ごま油,ゴマアブラ,少々
373,3470823,濃口醤油,コイクチショウユ,6.0
374,3470823,本みりん,ホンミリン,3.0
375,3470823,砂糖,サトウ,3.0
376,3470823,赤ワイン(なければ酒),アカワイン(ナケレバサケ),3.0
377,3470823,鶏がらスープのもと,ニワトリガラスープノモト,1.0
378,3470823,鶏もも肉,ニワトリモモニク,大1枚
379,3470823,塩コショウ,シオコショウ,少々
380,3470823,マヨネーズ,マヨネーズ,適量
381,3470823,七味,シチミ,少々
382,2764934,キャベツ,キャベツ,0.5玉
383,2764934,ごま油,ゴマアブラ,適量
384,2764934,炒りごま,イリゴマ,4.0
385,2764934,味噌,ミソ,4.0
386,2764934,みりん,ミリン,4.0
387,2764934,砂糖,サトウ,4.0
388,2764934,醤油,ショウユ,2.0
389,1421774,鶏もも肉,ニワトリモモニク,400g
390,1421774,味噌,ミソ,6.0
391,1421774,醤油,ショウユ,3.0
392,1421774,日本酒,ニッポンシュ,6.0
393,1421774,みりん,ミリン,6.0
394,1421774,砂糖,サトウ,2.0
395,1421774,にんにく,ニンニク,1片(すりおろす)
396,1421774,生姜,ショウガ,1片(すりおろす)
397,1421774,サラダ油,サラダユ,少々
398,2808168,鮭のアラ,サケノアラ,400g
399,2808168,じゃが芋,ジャガイモ,1個
400,2808168,人参,ニンジン,100g
401,2808168,玉ねぎ,タマネギ,0.5個
402,2808168,大根,ダイコン,100g
403,2808168,水,ミズ,1リットル
404,2808168,料理酒,リョウリシュ,25cc
405,2808168,お好みの味噌,オコノミノミソ,適量
406,2808168,長ネギ,ナガネギ,1本
407,3591742,きゅうり,キュウリ,1本
408,3591742,板ずり用塩,イタズリヨウシオ,適量
409,3591742,桜えび,サクラエビ,3.0
410,3591742,胡麻油,ゴマアブラ,3.0
411,3591742,ニンニク,ニンニク,0.5片~
412,3591742,鷹の爪,タカノツメ,0.5本~
413,3591742,醤油,ショウユ,3.0
414,3591742,酢,ス,3.0
415,3591742,砂糖,サトウ,1.0
416,3399781,鶏手羽元(モモ肉や手羽中等でもOK),ニワトリテバモト(モモニクヤテバチュウトウデモOK),6〜8本(1人2本目安炊飯器に入る量で...)モモ肉なら200g程度
417,3399781,塩こしょう,シオコショウ,適量
418,3399781,米,ベイ,2合
419,3399781,牛乳,ギュウニュウ,230cc
420,3399781,水,ミズ,200cc(調整可)
421,3399781,玉ねぎ,タマネギ,100g(約0.5個)
422,3399781,にんじん,ニンジン,50g
423,3399781,塩,シオ,0.5
424,3399781,こしょう,コショウ,少々
425,3399781,バター,バター,10g〜15g(約大さじ1)
426,3399781,パセリ,パセリ,適量
427,3399781,,,
428,3399781,カレー粉,カレーコ,2.0
429,3399781,醤油,ショウユ,1.0
430,3399781,コンソメ,コンソメ,固形1個もしくは小さじ1
431,3399781,塩こしょう,シオコショウ,お好みで
432,2826485,オクラ,オクラ,6本〜
433,2826485,豆腐,トウフ,0.5丁
434,2826485,鰹節パック,カツオブシパック,1袋
435,2826485,本だし顆粒,ホンダシカリュウ,1.0
436,2826485,水,ミズ,3CUP(600cc)
437,2826485,味噌,ミソ,6.0
438,3255222,ラム肉(薄切り),ラムニク(ウスギリ),200g
439,3255222,片栗粉,カタクリコ,適量
440,3255222,しょうゆ,ショウユ,3.0
441,3255222,酒,サケ,3.0
442,3255222,みりん,ミリン,3.0
443,3255222,砂糖,サトウ,3.0
444,3255222,コチュジャン,コチュジャン,1.5
445,653821,米,ベイ,2合
446,653821,さつまいも,サツマイモ,200g
447,653821,塩,シオ,1.0
448,653821,酒,サケ,3.0
449,653821,黒ゴマ,クロゴマ,適量
450,3006127,白菜,ハクサイ,0.5
451,3006127,豚肉(バラ肩肉どちらでも可),ブタニク(バラカタニクドチラデモカ),300g
452,3006127,もやし,モヤシ,適量
453,3006127,砂糖,サトウ,15.0
454,3006127,醤油酒みりん,ショウユシュミリン,各30cc
455,972401,板こんにゃく,イタコンニャク,1枚(200g)
456,972401,だし汁,ダシジル,0.5カップ
457,972401,お酒,オサケ,6.0
458,972401,みりん,ミリン,6.0
459,972401,砂糖,サトウ,3.0
460,972401,お醤油,オショウユ,3.0
461,972401,お醤油(仕上げ用),オショウユ(シアゲヨウ),3.0
462,972401,ごま油,ゴマアブラ,1.5
463,972401,白ゴマ,シロゴマ,適量
464,4126093,パスタ,パスタ,200g
465,4126093,バター,バター,20g
466,4126093,粉チーズ,コナチーズ,3.0
467,4126093,オリーブオイル,オリーブオイル,3.0
468,4126093,にんにく,ニンニク,1片
469,4126093,合挽き肉,ゴウヒキニク,300g
470,4126093,塩,シオ,1.0
471,4126093,胡椒,コショウ,少々
472,4126093,カットトマト,カットトマト,0.5缶(200g)
473,4126093,ビーフシチューのルウ,ビーフシチューノルウ,1皿分
474,4126093,赤ワイン,アカワイン,100cc
475,4126093,水,ミズ,ひたひた
476,4126093,玉ねぎ,タマネギ,0.5個
477,4126093,人参,ニンジン,0.5本
478,4126093,セロリ,セロリ,0.5本
479,2577469,ごま油,ゴマアブラ,3.0
480,2577469,豚挽き肉,ブタヒキニク,100g
481,2577469,切干大根,キリボシダイコン,35g
482,2577469,人参,ニンジン,3cm
483,2577469,油揚げ,アブラアゲ,1枚
484,2577469,醤油,ショウユ,7.5
485,2577469,酒,サケ,3.0
486,2577469,みりん,ミリン,3.0
487,2577469,砂糖,サトウ,3.0
488,2577469,ほんだし,ホンダシ,1.0
489,2577469,水,ミズ,300g
490,764099,玉ねぎ,タマネギ,0.5
491,764099,小麦粉,コムギコ,大1
492,2207500,牛豚合い挽き肉,ウシブタアイビキニク,600g
493,2207500,玉ねぎ,タマネギ,1個(200g)
494,2207500,バター,バター,20g
495,2207500,パン粉,パンコ,1カップ半(300ml)
496,2207500,牛乳,ギュウニュウ,150ml
497,2207500,卵,タマゴ,1個
498,2207500,塩,シオ,0.5
499,2207500,マヨネーズ,マヨネーズ,9.0
500,2207500,粗挽き黒胡椒,ホボヒキクロコショウ,多め(適量お好み量)
501,2207500,ナツメグ(有れば),ナツメグ(アレバ),適量(パラパラっと)
502,2604811,キャベツ,キャベツ,4~5枚
503,2604811,かまぼこ(or竹輪),カマボコ(orチクワ),6cm
504,2604811,炒りゴマ,イリゴマ,3.0
505,2604811,醤油,ショウユ,3.0
506,2604811,料理酒,リョウリシュ,3.0
507,2604811,ごま油(炒め用),ゴマアブラ(イタメヨウ),3.0
508,1220083,海老,エビ,10尾
509,1220083,アスパラガス,アスパラガス,5本
510,1220083,ニンニク,ニンニク,1片
511,1220083,酒,サケ,大1
512,1220083,塩,シオ,お好み
513,1220083,ブラックペッパー,ブラックペッパー,お好み
514,1220083,乾燥バジル,カンソウバジル,お好み
515,1220083,オリーブ油またはサラダ油,オリーブユマタハサラダユ,お好み
516,3131835,茄子,ナスビ,2〜3本
517,3131835,平天,タイラタカシ,2枚
518,3131835,油,アブラ,6.0
519,3131835,水,ミズ,200cc
520,3131835,顆粒和風だしの素,カリュウワフウダシノモト,3.0
521,3131835,砂糖,サトウ,6.0
522,3131835,醤油,ショウユ,3.0
523,3554208,豚こま切れ肉,ブタコマギレニク,200〜300g
524,3554208,醤油,ショウユ,3.0
525,3554208,酒,サケ,3.0
526,3554208,しょうが(すりおろし),ショウガ(スリオロシ),チューブで2cmくらい
527,3554208,片栗粉,カタクリコ,適宜
528,3554208,人参,ニンジン,1本
529,3554208,玉ねぎ,タマネギ,0.5個
530,3554208,ピーマン,ピーマン,2個
531,3554208,砂糖,サトウ,6.0
532,3554208,酒,サケ,6.0
533,3554208,醤油,ショウユ,6.0
534,3554208,酢,ス,6.0
535,3554208,ケチャップ,ケチャップ,6.0
536,3554208,水,ミズ,6.0
537,3554208,片栗粉,カタクリコ,1.5
538,3554208,サラダ油,サラダユ,適量
539,2099006,糸コンニャク,イトコンニャク,1袋(200g)
540,2099006,醤油,ショウユ,大2
541,2099006,酒,サケ,大2
542,2099006,砂糖,サトウ,大1.5
543,2099006,みりん,ミリン,大1
544,2099006,ゴマ油,ゴマアブラ,小0.5
545,2099006,ゴマ,ゴマ,小1
546,128484,鶏胸肉,ニワトリムネニク,400g
547,128484,味噌,ミソ,6.0
548,128484,しょうゆ,ショウユ,3.0
549,128484,みりん,ミリン,6.0
550,128484,砂糖,サトウ,3.0
551,128484,白炒りゴマ,シロイリゴマ,6.0
552,128484,にんにく,ニンニク,すりおろして小さじ1
553,128484,塩,シオ,少々
554,128484,日本酒,ニッポンシュ,3.0
555,128484,小麦粉,コムギコ,6.0
556,2273568,ニラ,ニラ,0.5束
557,2273568,玉ねぎ,タマネギ,0.25コ
558,2273568,塩こんぶ(私は減塩),シオコンブ(ワタシハゲンシオ),6.0
559,2273568,おから,オカラ,100g
560,2273568,上新粉(米粉でもok),カミシンコ(マイコデモok),50g
561,2273568,ウェイパー(中華だしでもok),ウェイパー(チュウカダシデモok),1.0
562,2273568,水,ミズ,150cc
